id,name,duration_min,type,audience,delivery,group,syllabus_day,soft_vs_hard,practice_sd,owner_id,ready,location,tags,notes,source
communicating-part-1-the-model,Communicating—Part 1: The Model,30,presentation,troop,Troop,A,1,hard,,,Not started,,syllabus|troop|module,Understand Aristotle’s Model of Communication; State the parts of Aristotle’s Model of Communication | 26-1 observed: 30 min on day 1,authority
finding-your-vision,Finding Your Vision,30,presentation,troop,Troop,A,1,hard,,,Not started,,syllabus|troop|module,Define vision as what future success looks like; Understand the difference between a team vision and personal visions | 26-1 observed: 30 min on day 1,authority
planning,Planning,60,presentation,troop,Troop,A,2,hard,,,Not started,,syllabus|troop|module,Understand the value of planning as a step to reaching goals and fulfilling; Plan an event or activity using the 7-Step Planning Process tool | 26-1 observed: 60 min on day 1,authority
setting-your-goals,Setting Your Goals,60,presentation,troop,Troop,A,2,hard,,,Not started,,syllabus|troop|module,Explain what a goal is; Describe and use the SMART Goals tool | 26-1 observed: 60 min on day 1,authority
developing-your-team,Developing Your Team,60,presentation,troop,Troop,A,3,hard,,,Not started,,syllabus|troop|module,See that a team is a group of people working toward the same goals and vision; Describe the phases that any team will experience as members move toward | 26-1 observed: 60 min on day 3,authority
scouting-edge,Scouting EDGE,60,presentation,troop,Troop,A,3,hard,,,Not started,,syllabus|troop|module,Explain the elements of EDGE; Match the steps of EDGE with the stages of team development | 26-1 observed: 60 min on day 3,authority
solving-problems,Solving Problems,45,presentation,troop,Troop,A,3,hard,,,Not started,,syllabus|troop|module,Define the types of problems you leaders typically face; Describe how to determine the correct problem to solve | 26-1 observed: 60 min on day 2,authority
ethics-and-values-in-decision-making,Ethics and Values in Decision-making,60,presentation,troop,Troop,A,4,hard,,,Not started,,syllabus|troop|module,Give a definition for “ethics” and discuss the importance of ethical decision; Describe three kinds of decisions (Right vs. Wrong / Right vs. Right / Trivial) | 26-1 observed: 60 min on day 5,authority
leading-yourself,Leading Yourself,60,presentation,troop,Troop,A,4,hard,,,Not started,,syllabus|troop|module,Discuss the importance of having a personal vision; Recognize at least one new way of thinking about themselves | 26-1 observed: 60 min on day 4,authority
servant-leadership,Servant Leadership,60,presentation,troop,Troop,A,4,hard,,,Not started,,syllabus|troop|module,Define leadership; Understand the connection between values and leadership | 26-1 observed: 60 min on day 4,authority
communicating-part-5-the-story,Communicating—Part 5: The Story,30,presentation,troop,Troop,A,5,hard,,,Not started,,syllabus|troop|module,Understand that storytelling is a key element of effective communication and thus; is also critical to effective leadership | 26-1 observed: 30 min on day 5,authority
diversity-and-valuing-people,Diversity and Valuing People,60,presentation,troop,Troop,A,5,hard,,,Not started,,syllabus|troop|module,Define diversity; Recognize that similarities and differences we share with others can help groups | 26-1 observed: 60 min on day 5,authority
resolving-conflicts,Resolving Conflicts,60,presentation,troop,Troop,A,5,hard,,,Not started,,syllabus|troop|module,"Discuss several ways effective leaders can minimize conflict; Describe how to use EAR (Express, Address, Resolve) as a tool for resolving | 26-1 observed: 60 min on day 5",authority
communicating-part-6-communicating-with-adults,Communicating—Part 6: Communicating with Adults,30,presentation,troop,Troop,A,6,hard,,,Not started,,syllabus|troop|module,Recognize the importance of effectively communicating with adults; Understand and demonstrate the five-step process for communicating with | 26-1 observed: 30 min on day 5,authority
embracing-and-leading-change,Embracing and Leading Change,45,presentation,troop,Troop,A,6,hard,,,Not started,,syllabus|troop|module,Recognize that leading change can have positive impact; Understand the value of change and develop skills to lead it successfully | 26-1 observed: 60 min on day 6,authority
resilience,Resilience,60,presentation,troop,Troop,A,6,hard,,,Not started,,syllabus|troop|module,Define resilience; Recognize that resilience is critical to individual success | 26-1 observed: 60 min on day 6,authority
communicating-part-2-the-sender,Communicating—Part 2: The Sender,30,presentation,patrol,TG,B,2,hard,,,Not started,,syllabus|tg|patrol|module,Recognize the role of a sender is to communicate clearly; Understand the neutral position and how it affects communication | 26-1 observed: 30 min on day 1,authority
communicating-part-3-the-message,Communicating—Part 3: The Message,30,presentation,patrol,TG,B,3,hard,,,Not started,,syllabus|tg|patrol|module,Identify the message in a communication; Decide what information is important about the message | 26-1 observed: 30 min on day 2,authority
communicating-part-4-the-receiver,Communicating—Part 4: The Receiver,30,presentation,patrol,TG,B,4,hard,,,Not started,,syllabus|tg|patrol|module,Understand the importance of effective listening; Understand that good leadership requires effective listening | 26-1 observed: 30 min on day 4,authority
historic-american-flag-presentation-british-union-flag,Historic American Flag Presentation: British Union Flag,15,presentation,troop,Troop,C,1,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
historic-american-flag-presentation-flag-of-1777,Historic American Flag Presentation: Flag of 1777,15,presentation,troop,Troop,C,2,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
historic-american-flag-presentation-serapis-flag,Historic American Flag Presentation: Serapis Flag,15,presentation,troop,Troop,C,3,hard,,,Not started,Troop assembly area,syllabus|troop|flag|ceremony,Historic flag presentation during troop assembly; connects American heritage to leadership and citizenship.,authority
